85,13,"""Prince Family Paper""",Asaad Kelada,B. J. Novak,"January 22, 2009 (2009-01-22)",5012,8.74[102]
8687,1415,"""Stress Relief""‡",Jeffrey Blitz,Paul Lieberstein,"February 1, 2009 (2009-02-01)",50165017,22.91[103]
88,16,"""Lecture Circuit: Part 1""",Ken Kwapis,Mindy Kaling,"February 5, 2009 (2009-02-05)",5014,8.39[104]
89,17,"""Lecture Circuit: Part 2""",Ken Kwapis,Mindy Kaling,"February 12, 2009 (2009-02-12)",5015,8.89[105]
90,18,"""Blood Drive""",Randall Einhorn,Brent Forrester,"March 5, 2009 (2009-03-05)",5018,8.63[106]
91,19,"""Golden Ticket""",Randall Einhorn,Mindy Kaling,"March 12, 2009 (2009-03-12)",5019,7.51[107]
92,20,"""New Boss""",Paul Feig,Lee Eisenberg & Gene Stupnitsky,"March 19, 2009 (2009-03-19)",5020,7.95[108]
93,21,"""Two Weeks""",Paul Lieberstein,Aaron Shure,"March 26, 2009 (2009-03-26)",5021,8.45[109]
94,22,"""Dream Team""",Paul Feig,B. J. Novak,"April 9, 2009 (2009-04-09)",5022,7.20[110]
95,23,"""Michael Scott Paper Company""",Gene Stupnitsky,Justin Spitzer,"April 9, 2009 (2009-04-09)",5023,7.94[110]
96,24,"""Heavy Competition""",Ken Whittingham,Ryan Koh,"April 16, 2009 (2009-04-16)",5024,8.24[111]
97,25,"""Broke""",Steve Carell,Charlie Grandy,"April 23, 2009 (2009-04-23)",5025,7.21[112]
98,26,"""Casual Friday""",Brent Forrester,Anthony Q. Farrell,"April 30, 2009 (2009-04-30)",5026,7.31[113]
99,27,"""Cafe Disco""",Randall Einhorn,Warren Lieberstein & Halsted Sullivan,"May 7, 2009 (2009-05-07)",5027,7.71[114]
100,28,"""Company Picnic""",Ken Kwapis,Jennifer Celotta & Paul Lieberstein,"May 14, 2009 (2009-05-14)",5028,6.72[115]
101,1,"""Gossip""",Paul Lieberstein,Paul Lieberstein,"September 17, 2009 (2009-09-17)",6001,8.20[118]
102,2,"""The Meeting""",Randall Einhorn,Aaron Shure,"September 24, 2009 (2009-09-24)",6002,7.33[119]
103,3,"""The Promotion""",Jennifer Celotta,Jennifer Celotta,"October 1, 2009 (2009-10-01)",6003,7.28[120]
104105,45,"""Niagara""‡",Paul Feig,Greg Daniels & Mindy Kaling,"October 8, 2009 (2009-10-08)",60046005,9.42[121]
106,6,"""Mafia""",David Rogers,Brent Forrester,"October 15, 2009 (2009-10-15)",6006,8.10[122]
107,7,"""The Lover""",Lee Eisenberg,Lee Eisenberg & Gene Stupnitsky,"October 22, 2009 (2009-10-22)",6007,8.52[123]
108,8,"""Koi Pond""",Reggie Hudlin,Warren Lieberstein & Halsted Sullivan,"October 29, 2009 (2009-10-29)",6009,8.20[124]
109,9,"""Double Date""",Seth Gordon,Charlie Grandy,"November 5, 2009 (2009-11-05)",6008,7.94[125]
110,10,"""Murder""",Greg Daniels,Daniel Chun,"November 12, 2009 (2009-11-12)",6010,7.76[126]
111,11,"""Shareholder Meeting""",Charles McDougall,Justin Spitzer,"November 19, 2009 (2009-11-19)",6011,7.43[127]
112,12,"""Scott's Tots""",B. J. Novak,Gene Stupnitsky & Lee Eisenberg,"December 3, 2009 (2009-12-03)",6013,8.10[128]
113,13,"""Secret Santa""",Randall Einhorn,Mindy Kaling,"December 10, 2009 (2009-12-10)",6014,8.51[129]
114,14,"""The Banker""",Jeffrey Blitz,Jason Kessler,"January 21, 2010 (2010-01-21)",6012,7.29[130]
115,15,"""Sabre""",John Krasinski,Jennifer Celotta,"February 4, 2010 (2010-02-04)",6015,7.36[131]
116,16,"""The Manager and the Salesman""",Marc Webb,Mindy Kaling,"February 11, 2010 (2010-02-11)",6016,7.40[132]
117118,1718,"""The Delivery""‡",Seth GordonHarold Ramis,Daniel ChunCharlie Grandy,"March 4, 2010 (2010-03-04)",60186019,9.00[133]
119,19,"""St. Patrick's Day""",Randall Einhorn,Jonathan Hughes,"March 11, 2010 (2010-03-11)",6017,7.51[134]
120,20,"""New Leads""",Brent Forrester,Brent Forrester,"March 18, 2010 (2010-03-18)",6020,7.63[135]
121,21,"""Happy Hour""",Matt Sohn,B. J. Novak,"March 25, 2010 (2010-03-25)",6021,7.17[136]
122,22,"""Secretary's Day""",Steve Carell,Mindy Kaling,"April 22, 2010 (2010-04-22)",6022,6.30[137]
123,23,"""Body Language""",Mindy Kaling,Justin Spitzer,"April 29, 2010 (2010-04-29)",6023,7.01[138]
124,24,"""The Cover-Up""",Rainn Wilson,Gene Stupnitsky & Lee Eisenberg,"May 6, 2010 (2010-05-06)",6024,6.84[139]
125,25,"""The Chump""",Randall Einhorn,Aaron Shure,"May 13, 2010 (2010-05-13)",6025,6.60[140]
126,26,"""Whistleblower""",Paul Lieberstein,Warren Lieberstein & Halsted Sullivan,"May 20, 2010 (2010-05-20)",6026,6.60[141]
127,1,"""Nepotism""",Jeffrey Blitz,Daniel Chun,"September 23, 2010 (2010-09-23)",7001,8.40[146]
128,2,"""Counseling""",Jeffrey Blitz,B. J. Novak,"September 30, 2010 (2010-09-30)",7002,7.36[147]
129,3,"""Andy's Play""",John Stuart Scott,Charlie Grandy,"October 7, 2010 (2010-10-07)",7003,6.95[148]
130,4,"""Sex Ed""",Paul Lieberstein,Paul Lieberstein,"October 14, 2010 (2010-10-14)",7004,7.36[149]
131,5,"""The Sting""",Randall Einhorn,Mindy Kaling,"October 21, 2010 (2010-10-21)",7005,6.87[150]
132,6,"""Costume Contest""",Dean Holland,Justin Spitzer,"October 28, 2010 (2010-10-28)",7006,8.07[151]
133,7,"""Christening""",Alex Hardcastle,Peter Ocko,"November 4, 2010 (2010-11-04)",7007,7.65[152]
134,8,"""Viewing Party""",Ken Whittingham,Jon Vitti,"November 11, 2010 (2010-11-11)",7008,7.15[153]
135,9,"""WUPHF.com""",Danny Leiner,Aaron Shure,"November 18, 2010 (2010-11-18)",7009,7.28[154]
